"fileid","year","month","day","circuit","state","district","reversed_dum","ethnicity","income","counsel_type","weight"
"",1961,9,26,9,54,7,1,"Asian","Wealthy","Private",1.37312521799791
"",1961,9,27,10,36,6,0,"Black","Wealthy","Private",0.724358856681292
"",1960,4,29,1,52,7,0,"Hispanic","Wealthy","None",0.491335587489434
"",1960,9,15,1,52,7,0,"Hispanic","Poor","Private",0.491335587489434
"",1960,2,15,2,32,5,1,"Asian","Wealthy","Private",1.70118343195266
"",1960,1,28,5,43,6,0,"Black","Wealthy","Private",1.48265196342119
"",1960,7,12,5,43,5,0,"Hispanic","Wealthy","Private",1.48265196342119
"",1960,3,14,7,13,6,1,"Asian","Wealthy","Private",0.817307692307692
"",1960,4,22,8,25,2,1,"Hispanic","Wealthy","Private",1.08173076923077
"",1960,5,31,9,3,7,0,"Hispanic","Wealthy","Private",1.3724523339908
"",1960,9,19,10,16,7,0,"Asian","Poor","None",0.290574809805579
"",1959,7,29,1,52,7,0,"Hispanic","Wealthy","Private",0.197344815213491
"",1959,3,31,2,32,5,0,"Asian","Wealthy","Private",2.06099748833872
"",1959,6,15,2,32,6,0,"Asian","Wealthy","Private",2.06099748833872
"",1959,8,6,4,40,2,1,"Hispanic","Wealthy","Private",0.975959813419447
"",1959,1,5,4,46,1,1,"Asian","Wealthy","Private",0.975959813419447
"",1959,7,27,6,35,6,0,"Asian","Wealthy","Private",0.485771852833209
"",1959,4,1,7,49,2,0,"Native American","Wealthy","Private",1.07642626480086
"",1959,11,10,8,4,2,1,"Asian","Poor","Private",0.836536982930955
"",1959,11,6,8,25,2,0,"Caucasian","Wealthy","Private",0.836536982930955
"",1959,3,6,9,5,5,0,"Hispanic","Wealthy","None",2.36813778256189
"",1958,1,8,4,40,1,1,"Asian","Wealthy","Private",0.692706533010716
"",1958,3,3,4,33,1,0,"Hispanic","Wealthy","Private",0.692706533010716
"",1958,10,6,4,33,4,1,"Hispanic","Wealthy","Private",0.692706533010716
"",1958,4,30,5,43,5,1,"Asian","Wealthy","Private",1.11675396846499
"",1958,6,26,5,43,2,1,"Black","Wealthy","Private",1.11675396846499
"",1958,2,25,6,22,2,0,"Hispanic","Wealthy","Private",0.809770710911395
"",1958,10,8,7,14,6,0,"Native American","Middle","Private",1.96474248185275
"",1958,8,8,10,44,7,1,"Caucasian","Middle","Private",1.06851019702731
"",1958,8,15,10,44,7,1,"Hispanic","Wealthy","Private",1.06851019702731
"",1958,1,9,0,53,7,0,"Asian","Poor","Private",1.46837193225026
"",1957,11,22,1,21,7,0,"Asian","Wealthy","Private",0.445434703528556
"",1957,2,8,7,13,5,1,"Black","Middle","Private",0.826967382078332
"",1957,1,2,10,36,7,1,"Black","Middle","Private",0.676609676245908
"",1957,1,2,10,44,7,0,"Hispanic","Wealthy","Private",0.676609676245908
"",1957,8,23,10,36,6,0,"Hispanic","Wealthy","Private",0.676609676245908
"",1957,2,21,0,53,7,1,"Asian","Wealthy","Private",1.08565098052184
"",1956,4,26,1,52,7,0,"Hispanic","Wealthy","None",0.454368932038835
"",1956,7,10,3,38,1,0,"Asian","Wealthy","Private",0.45873786407767
"",1956,5,25,5,18,2,1,"Hispanic","Wealthy","Private",2.13106796116505
"",1956,4,24,8,4,2,0,"Hispanic","Wealthy","Private",0.936893203883495
"",1956,8,27,9,47,2,0,"Hispanic","Wealthy","Private",1.21359223300971
"",1956,6,27,10,16,7,0,"Asian","Wealthy","Private",0.355987055016181
"",1956,1,3,10,36,6,1,"Hispanic","Wealthy","Private",0.355987055016181
"",1955,6,6,1,52,7,0,"Hispanic","Poor","Private",0.241935483870968
"",1955,3,28,1,52,7,0,"Hispanic","Wealthy","None",0.241935483870968
"",1955,2,9,2,32,1,1,"Hispanic","Wealthy","Private",1.36803519061584
"",1955,2,21,4,40,1,1,"Hispanic","Wealthy","Private",0.756598240469208
"",1955,2,3,4,40,1,1,"Hispanic","Wealthy","Private",0.756598240469208
"",1955,12,29,7,13,6,1,"Asian","Wealthy","Private",0.590642495334577
"",1955,8,2,7,49,2,1,"Hispanic","Wealthy","Private",0.590642495334577
"",1955,5,25,10,36,2,1,"Hispanic","Wealthy","Private",1.18240469208211
"",1954,5,12,1,52,7,1,"Hispanic","Wealthy","Private",0.354829561567693
"",1954,2,26,1,52,7,0,"Hispanic","Wealthy","Private",0.354829561567693
"",1954,2,12,3,38,1,0,"Asian","Wealthy","Private",0.605819295558959
"",1954,6,14,4,40,1,0,"Asian","Wealthy","Private",0.669218989280245
"",1954,11,29,6,17,2,0,"Asian","Poor","Private",1.24115802523153
"",1954,1,4,7,13,6,0,"Asian","Poor","Private",0.79249617151608
"",1954,9,24,9,37,7,1,"Hispanic","Wealthy","Private",1.19114576082417
"",1954,8,13,10,36,1,0,"Black","Wealthy","Private",0.962736089841756
"",1954,4,15,0,53,7,0,"Asian","Poor","Private",0.653564743916965
"",1953,1,28,1,21,7,1,"Hispanic","Wealthy","Private",0.670859538784067
"",1953,6,25,2,32,5,1,"Asian","Wealthy","Private",1.17250673854447
"",1953,3,27,2,32,5,1,"Asian","Wealthy","Private",1.17250673854447
"",1953,4,16,3,38,2,0,"Asian","Wealthy","Private",0.657232704402516
"",1953,5,29,9,37,7,0,"Asian","Wealthy","Private",1.30503144654088
"",1952,12,1,2,32,5,0,"Hispanic","Poor","Private",1.73907721280603
"",1952,7,18,4,46,1,1,"Asian","Wealthy","Private",0.697202044659672
"",1952,4,11,6,42,1,0,"Native American","Middle","Private",0.730343691148776
"",1952,11,18,8,25,2,1,"Hispanic","Wealthy","Private",0.577401129943503
"",1952,4,24,0,53,7,0,"Hispanic","Wealthy","Private",0.842043314500942
"",1951,6,27,5,43,5,1,"Asian","Wealthy","Private",1.49969197070299
"",1951,3,2,6,42,2,1,"Hispanic","Wealthy","Private",0.724621808474228
"",1951,1,9,6,42,4,0,"Hispanic","Wealthy","Private",0.724621808474228
"",1951,8,30,8,25,1,1,"Asian","Wealthy","Government",0.940173865425423
"",1950,12,14,2,7,7,1,"Hispanic","Wealthy","Private",1.17257248044179
"",1950,6,14,3,38,1,0,"Asian","Wealthy","Private",1.20846755637368
"",1950,1,10,5,9,6,0,"Asian","Wealthy","Private",1.5105844454671
"",1950,6,9,5,24,5,0,"Black","Wealthy","Private",1.5105844454671
"",1950,11,13,8,23,7,1,"Native American","Wealthy","Private",0.751137700056246
"",1949,12,30,5,10,5,1,"Hispanic","Wealthy","Government",1.20552204176334
"",1949,5,25,7,49,1,0,"Hispanic","Wealthy","Private",0.847331786542923
"",1949,12,27,8,23,7,0,"Asian","Wealthy","Private",0.685568445475638
"",1949,12,30,9,5,5,0,"Asian","Wealthy","Private",1.78709976798144
"",1948,10,29,1,21,7,0,"Hispanic","Wealthy","Private",0.353282975014526
"",1948,12,27,4,20,7,0,"Asian","Wealthy","Private",0.429559980983572
"",1948,11,12,5,1,6,0,"Black","Middle","Private",2.35816385822196
"",1948,1,9,8,25,1,0,"Asian","Wealthy","Private",0.988088320743754
"",1948,3,30,9,11,7,1,"Asian","Poor","Private",1.15552973077668
"",1948,7,17,10,31,7,1,"Hispanic","Wealthy","Private",0.220801859384079
"",1948,9,9,10,6,7,0,"Hispanic","Wealthy","Private",0.220801859384079
"",1947,10,27,1,21,7,0,"Asian","Poor","Private",0.505968778696051
"",1947,3,7,1,21,7,0,"Asian","Wealthy","Private",0.505968778696051
"",1947,4,9,4,40,2,1,"Hispanic","Wealthy","Private",0.523415977961433
"",1947,12,8,6,22,1,0,"Hispanic","Middle","Private",1.02439984258166
"",1947,10,27,8,23,7,1,"Asian","Wealthy","Private",0.723265715001252
"",1946,11,21,4,48,5,1,"Asian","Wealthy","Private",0.346910197869102
"",1946,7,11,4,40,2,0,"Asian","Wealthy","Private",0.346910197869102
"",1946,4,5,5,9,5,1,"Hispanic","Wealthy","Private",1.53698630136986
"",1946,11,23,7,13,6,0,"Asian","Poor","Private",1.08995433789954
"",1945,3,23,1,21,8,0,"Asian","Wealthy","Private",0.344008056394763
"",1945,7,24,4,40,2,0,"Native American","Middle","Private",0.46686807653575
"",1945,4,23,5,9,5,0,"Black","Poor","Private",1.22348103390399
"",1945,7,9,6,22,2,0,"Black","Middle","Private",0.595103222557905
"",1945,5,24,6,35,5,0,"Hispanic","Wealthy","Private",0.595103222557905
"",1945,12,10,0,53,7,1,"Hispanic","Wealthy","Private",0.719608689397209
"",1944,11,29,2,32,5,0,"Asian","Wealthy","Private",1.86283367556468
"",1944,5,11,4,20,7,0,"Hispanic","Wealthy","Private",0.402464065708419
"",1944,3,25,5,43,5,0,"Hispanic","Wealthy","Private",1.16906228610541
"",1944,2,15,6,35,6,0,"Hispanic","Wealthy","Private",0.84517453798768
"",1944,1,12,8,4,2,1,"Hispanic","Wealthy","Private",1.21889117043121
"",1943,11,29,1,21,7,0,"Caucasian","Poor","Private",0.385288319369147
"",1943,2,9,4,20,7,0,"Black","Wealthy","Private",0.901429275505175
"",1943,10,20,5,10,4,1,"Hispanic","Wealthy","Private",1.5295219319862
"",1943,6,21,8,25,2,1,"Native American","Wealthy","Private",0.856196265264772
"",1943,12,24,8,25,2,1,"Hispanic","Wealthy","Private",0.856196265264772
"",1943,10,29,9,0,8,0,"Hispanic","Wealthy","Court Appointed or Public Defender",1.59931000492854
"",1942,12,16,2,32,1,0,"Asian","Wealthy","Private",1.51141589350545
"",1942,5,20,3,38,1,0,"Asian","Wealthy","Private",1.52077450584913
"",1942,8,21,3,30,7,0,"Asian","Wealthy","Private",1.52077450584913
"",1942,4,28,5,18,2,0,"Hispanic","Wealthy","Private",1.22831787010892
"",1942,12,30,5,43,5,0,"Hispanic","Wealthy","Private",1.22831787010892
"",1942,4,22,6,42,2,1,"Asian","Wealthy","Private",0.835590387829194
"",1942,6,2,6,35,2,0,"Asian","Wealthy","Private",0.835590387829194
"",1942,11,27,7,13,6,0,"Asian","Poor","Private",2.71399757966922
"",1942,12,7,9,37,7,1,"Caucasian","Middle","Private",1.21194029850746
"",1942,7,17,9,5,5,1,"Hispanic","Wealthy","Private",1.21194029850746
"",1941,8,22,4,46,2,0,"Hispanic","Wealthy","Private",0.354256547365863
"",1941,1,8,6,17,1,0,"Asian","Wealthy","Private",1.47384091875798
"",1941,2,10,8,4,1,1,"Asian","Wealthy","Private",1.17439387494683
"",1941,5,31,10,36,1,0,"Native American","Middle","Private",0.666737558485751
"",1940,3,29,1,52,7,0,"Hispanic","Poor","Private",0.293833131801693
"",1940,1,10,1,52,7,0,"Hispanic","Poor","Private",0.293833131801693
"",1940,3,8,1,52,7,0,"Hispanic","Poor","Private",0.293833131801693
"",1940,2,26,4,48,5,1,"Hispanic","Wealthy","Private",0.353688029020556
"",1940,1,6,5,43,6,0,"Asian","Wealthy","Private",1.08827085852479
"",1940,5,5,5,43,5,0,"Asian","Wealthy","Private",1.08827085852479
"",1940,4,10,6,22,1,0,"Hispanic","Wealthy","Private",1.09697702539299
"",1940,5,10,6,35,5,0,"Asian","Wealthy","Private",1.09697702539299
"",1940,5,2,8,25,1,0,"Hispanic","Wealthy","Private",1.39842805320435
"",1939,2,20,2,55,0,0,"Hispanic","Wealthy","Private",1.30054189245519
"",1939,6,12,2,32,2,1,"Hispanic","Wealthy","Private",1.30054189245519
"",1939,6,30,3,38,4,1,"Asian","Wealthy","Private",1.55794080867028
"",1939,12,14,5,43,2,0,"Hispanic","Wealthy","Private",0.839933305543977
"",1939,6,28,6,35,5,0,"Hispanic","Wealthy","Private",1.27344726969571
"",1939,2,25,8,25,1,0,"Hispanic","Wealthy","Private",0.894122551062943
"",1939,6,15,9,37,7,0,"Hispanic","Middle","Private",1.28247881061553
"",1938,12,6,1,39,7,1,"Asian","Poor","Private",0.211794019933555
"",1938,8,25,3,38,4,0,"Asian","Wealthy","Private",1.03920265780731
"",1938,3,22,3,38,4,0,"Asian","Wealthy","Private",1.03920265780731
"",1938,1,27,5,9,5,0,"Hispanic","Wealthy","Private",2.74861572535991
"",1938,11,9,7,13,1,0,"Hispanic","Wealthy","Private",1.12956810631229
"",1938,7,1,8,4,2,1,"Hispanic","Wealthy","Private",1.0125771238728
"",1938,7,13,8,25,1,0,"Hispanic","Wealthy","Private",1.0125771238728
"",1938,4,11,8,4,2,1,"Hispanic","Wealthy","Private",1.0125771238728
"",1938,5,6,10,36,2,0,"Asian","Poor","Private",0.420450350682909
"",1938,9,15,10,36,6,0,"Hispanic","Wealthy","Private",0.420450350682909
"",1937,6,14,4,40,1,0,"Hispanic","Wealthy","Private",0.414644179350062
"",1937,8,6,4,46,1,0,"Black","Wealthy","Private",0.414644179350062
"",1937,9,27,4,46,1,0,"Hispanic","Wealthy","Private",0.414644179350062
"",1937,4,17,4,48,6,1,"Hispanic","Wealthy","Private",0.414644179350062
"",1937,4,6,4,40,1,0,"Hispanic","Wealthy","Private",0.414644179350062
"",1937,4,12,6,22,2,0,"Asian","Wealthy","Private",1.29823118058412
"",1937,6,28,8,4,2,0,"Black","Wealthy","Private",1.33278486219663
"",1937,7,2,9,26,7,1,"Asian","Wealthy","Private",1.07280954339778
"",1937,11,12,10,36,6,0,"Asian","Poor","Private",0.328484349874724
"",1937,12,27,10,16,7,0,"Hispanic","Wealthy","Private",0.328484349874724
"",1936,9,11,3,30,7,0,"Hispanic","Wealthy","Private",0.518610421836228
"",1936,1,16,3,38,1,1,"Hispanic","Wealthy","Private",0.518610421836228
"",1936,6,19,3,30,7,0,"Hispanic","Wealthy","Private",0.518610421836228
"",1936,6,11,5,9,5,0,"Asian","Wealthy","Private",1.01757650951199
"",1936,3,9,8,25,2,1,"Hispanic","Wealthy","Private",0.67772952853598
"",1935,12,17,1,29,7,1,"Asian","Wealthy","Private",0.30546357615894
"",1935,3,9,1,21,7,1,"Hispanic","Wealthy","Private",0.30546357615894
"",1935,4,1,2,32,1,1,"Asian","Wealthy","Private",3.68253311258278
"",1935,7,1,2,32,5,0,"Asian","Wealthy","Private",3.68253311258278
"",1935,1,14,2,32,1,1,"Hispanic","Wealthy","Private",3.68253311258278
"",1935,4,10,4,48,6,0,"Hispanic","Wealthy","Private",1.33046357615894
"",1935,4,3,4,46,1,0,"Asian","Poor","Private",1.33046357615894
"",1935,2,22,5,43,5,1,"Hispanic","Wealthy","Private",1.18791390728477
"",1935,2,15,5,9,5,0,"Asian","Wealthy","Private",1.18791390728477
"",1935,2,25,8,15,5,0,"Hispanic","Wealthy","Private",1.1327607615894
"",1935,4,8,9,2,7,1,"Black","Middle","Private",1.37458609271523
"",1935,4,22,9,5,8,1,"Hispanic","Wealthy","Private",1.37458609271523
"",1935,1,7,9,47,2,0,"Hispanic","Wealthy","Private",1.37458609271523
"",1935,3,25,10,55,0,0,"Native American","Poor","Private",0.595842531272995
"",1934,6,11,4,40,1,0,"Hispanic","Wealthy","Private",0.88
"",1934,6,8,6,22,2,0,"Asian","Middle","Private",0.591377852916315
"",1934,6,13,7,13,6,0,"Hispanic","Wealthy","Private",1.12473372781065
"",1934,3,23,8,25,2,1,"Native American","Middle","Private",1.21499013806706
"",1934,7,19,8,4,1,0,"Hispanic","Wealthy","Private",1.21499013806706
"",1934,10,12,8,25,2,1,"Hispanic","Wealthy","Private",1.21499013806706
"",1934,6,7,10,44,7,1,"Hispanic","Wealthy","Private",0.755029585798817
"",1934,6,11,0,53,7,0,"Asian","Wealthy","Private",0.792223161453931
"",1933,3,3,3,30,7,0,"Hispanic","Wealthy","Private",0.844660194174757
"",1933,8,23,3,38,8,0,"Hispanic","Wealthy","Private",0.844660194174757
"",1933,12,19,5,43,6,0,"Hispanic","Wealthy","Private",0.718446601941748
"",1933,2,20,5,43,5,0,"Hispanic","Poor","Private",0.718446601941748
"",1933,12,4,6,55,0,0,"Hispanic","Wealthy","Private",1.957928802589
"",1933,3,16,7,15,6,1,"Asian","Wealthy","Private",0.810679611650486
"",1933,3,10,7,13,5,0,"Hispanic","Wealthy","Private",0.810679611650486
"",1933,1,31,8,27,7,0,"Hispanic","Wealthy","Private",1.07281553398058
"",1933,8,21,9,47,2,1,"Asian","Wealthy","Private",1.13673139158576
"",1933,11,6,9,37,7,0,"Hispanic","Wealthy","Private",1.13673139158576
"",1932,12,17,3,38,2,1,"Asian","Wealthy","Private",0.966478014801916
"",1932,3,17,3,30,7,0,"Hispanic","Middle","Private",0.966478014801916
"",1932,7,27,3,30,7,0,"Hispanic","Poor","Private",0.966478014801916
"",1932,1,20,4,20,7,0,"Hispanic","Wealthy","Private",0.593237556232767
"",1932,11,3,5,1,6,0,"Hispanic","Wealthy","Private",1.27993034392686
"",1932,4,30,8,4,1,1,"Hispanic","Wealthy","Private",2.31301697866783
"",1932,6,21,9,5,5,1,"Hispanic","Wealthy","Private",1.29364388332608
"",1932,4,11,10,36,3,1,"Hispanic","Wealthy","Private",0.641996807429981
"",1932,1,5,10,6,7,1,"Hispanic","Wealthy","Private",0.641996807429981
"",1931,5,28,1,52,7,1,"Hispanic","Poor","Private",0.4032
"",1931,5,4,3,38,7,0,"Asian","Wealthy","Private",2.33431578947368
"",1931,4,1,5,18,2,0,"Asian","Poor","Private",0.882
"",1931,2,18,5,24,6,1,"Asian","Wealthy","Private",0.882
"",1931,3,26,5,43,6,1,"Hispanic","Wealthy","Private",0.882
"",1931,11,10,6,35,5,1,"Hispanic","Wealthy","Private",1.14947368421053
"",1931,2,9,7,14,6,1,"Asian","Wealthy","Private",0.921789473684211
"",1931,9,8,8,41,7,1,"Hispanic","Wealthy","Private",1.03073684210526
"",1931,11,9,9,5,6,0,"Hispanic","Wealthy","Private",1.06484210526316
"",1931,3,27,10,36,6,0,"Native American","Poor","Private",0.663157894736842
"",1931,8,6,10,16,7,1,"Black","Wealthy","Private",0.663157894736842
"",1931,12,24,10,44,7,1,"Hispanic","Wealthy","Private",0.663157894736842
"",1930,1,6,2,32,5,1,"Hispanic","Wealthy","Private",2.14006366530241
"",1930,7,21,3,38,1,1,"Hispanic","Wealthy","Private",0.78331059572533
"",1930,2,10,5,1,4,0,"Asian","Wealthy","Private",0.8793769895407
"",1930,3,3,7,13,1,1,"Hispanic","Wealthy","Private",0.5025011368804
"",1930,1,6,10,36,7,1,"Black","Middle","Private",0.876913748673639
"",1929,11,26,5,43,6,0,"Hispanic","Wealthy","Private",2.00890518596124
"",1929,4,12,6,35,6,1,"Asian","Wealthy","Private",1.42168674698795
"",1929,6,20,7,14,6,1,"Hispanic","Wealthy","Private",0.281590128630464
"",1929,12,7,7,14,5,0,"Asian","Wealthy","Private",0.281590128630464
"",1929,12,17,9,5,6,1,"Hispanic","Wealthy","Private",1.42683778592631
"",1929,12,17,9,5,6,1,"Caucasian","Wealthy","Private",1.42683778592631
"",1928,10,16,4,46,1,0,"Hispanic","Wealthy","Private",0.380065789473684
"",1928,12,7,6,35,6,0,"Asian","Wealthy","Private",0.757142857142857
"",1928,4,3,6,17,1,0,"Hispanic","Wealthy","Private",0.757142857142857
"",1928,1,5,7,14,7,1,"Hispanic","Wealthy","Private",0.441666666666667
"",1927,2,25,3,30,7,1,"Asian","Wealthy","Private",0.728882833787466
"",1927,9,23,4,46,1,0,"Asian","Wealthy","Private",0.505790190735695
"",1927,7,5,4,33,2,1,"Hispanic","Wealthy","Private",0.505790190735695
"",1927,2,17,5,18,1,1,"Caucasian","Middle","Private",0.837874659400545
"",1927,3,18,5,24,6,0,"Asian","Wealthy","Private",0.837874659400545
"",1927,12,1,7,13,6,0,"Native American","Wealthy","Private",0.548851693265862
"",1926,3,29,1,39,7,1,"Hispanic","Wealthy","Private",0.800427565392354
"",1926,2,1,2,32,5,0,"Hispanic","Wealthy","Private",2.28501006036217
"",1926,7,9,3,8,7,1,"Native American","Poor","Private",0.497107645875252
"",1926,5,21,3,38,1,0,"Asian","Wealthy","Private",0.497107645875252
"",1926,3,12,3,30,7,1,"Hispanic","Wealthy","Private",0.497107645875252
"",1926,1,13,5,1,5,0,"Asian","Wealthy","Private",0.636597361949475
"",1926,5,20,6,42,4,1,"Hispanic","Wealthy","Private",1.91260060362173
"",1926,12,4,7,14,7,0,"Hispanic","Wealthy","Private",0.572937625754527
"",1926,8,21,8,25,1,1,"Hispanic","Wealthy","Private",1.81510491520552
"",1926,11,15,8,16,7,1,"Hispanic","Wealthy","Private",1.81510491520552
"",1926,12,13,9,2,7,0,"Asian","Wealthy","Private",0.707746478873239
"",1925,9,29,3,30,7,1,"Native American","Middle","Private",0.720496894409938
"",1925,12,29,3,38,2,0,"Asian","Wealthy","Private",0.720496894409938
"",1925,1,6,5,43,5,1,"Hispanic","Wealthy","Private",0.543478260869565
"",1925,4,6,6,35,6,0,"Asian","Wealthy","Private",0.9849157054126
